"filename", "language", "CMake", "CMake Cache", "GLSL", "XML", "Markdown", "XSL", "YAML", "C++", "Python", "JSON", "CUDA C++", "Shell Script", "Batch", "JavaScript", "CSS", "C", "HTML", "HLSL", "Diff", "Makefile", "SQL", "pip requirements", "Properties", "Docker", "Objective-C++", "Groovy", "comment", "blank", "total"
"c:\Project\CraneEngine\CMakeSettings.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Project\CraneEngine\CraneEngine\Actor.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Project\CraneEngine\CraneEngine\Actor.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Project\CraneEngine\CraneEngine\Engine.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 283, 28, 414
"c:\Project\CraneEngine\CraneEngine\Engine.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 50
"c:\Project\CraneEngine\CraneEngine\Input.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"c:\Project\CraneEngine\CraneEngine\Physics\AABBTree.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 72, 379
"c:\Project\CraneEngine\CraneEngine\Physics\AABBTree.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28, 153
"c:\Project\CraneEngine\CraneEngine\Physics\Collision.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 89
"c:\Project\CraneEngine\CraneEngine\Physics\Collision.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 72
"c:\Project\CraneEngine\CraneEngine\Physics\Constraint.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 53, 383
"c:\Project\CraneEngine\CraneEngine\Physics\Constraint.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 115
"c:\Project\CraneEngine\CraneEngine\Physics\Intersect.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 60
"c:\Project\CraneEngine\CraneEngine\Physics\Intersect.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 4, 46
"c:\Project\CraneEngine\CraneEngine\Physics\PositionBasedDynamics.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 84
"c:\Project\CraneEngine\CraneEngine\Physics\PositionBasedDynamics.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Project\CraneEngine\CraneEngine\Physics\Rigidbody.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Project\CraneEngine\CraneEngine\Physics\Rigidbody.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 78
"c:\Project\CraneEngine\CraneEngine\Physics\Voxelize.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 77
"c:\Project\CraneEngine\CraneEngine\Physics\Voxelize.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Project\CraneEngine\CraneEngine\Render\Buffer.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 72
"c:\Project\CraneEngine\CraneEngine\Render\Buffer.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 68
"c:\Project\CraneEngine\CraneEngine\Render\Camera.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 62
"c:\Project\CraneEngine\CraneEngine\Render\Camera.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 45
"c:\Project\CraneEngine\CraneEngine\Render\Cull.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 100
"c:\Project\CraneEngine\CraneEngine\Render\DataStruct.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"c:\Project\CraneEngine\CraneEngine\Render\Image.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 162
"c:\Project\CraneEngine\CraneEngine\Render\Image.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41
"c:\Project\CraneEngine\CraneEngine\Render\Logging.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Project\CraneEngine\CraneEngine\Render\MaterialSystem.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29, 213
"c:\Project\CraneEngine\CraneEngine\Render\MaterialSystem.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 111
"c:\Project\CraneEngine\CraneEngine\Render\MeshBase.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 53, 365
"c:\Project\CraneEngine\CraneEngine\Render\MeshBase.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 15, 89
"c:\Project\CraneEngine\CraneEngine\Render\Render.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 188, 1100
"c:\Project\CraneEngine\CraneEngine\Render\Render.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 61, 241
"c:\Project\CraneEngine\CraneEngine\Render\RenderableBase.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 111
"c:\Project\CraneEngine\CraneEngine\Utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 8, 117
"c:\Project\CraneEngine\CraneEngine\Utils.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 51
"c:\Project\CraneEngine\Demo\BASIC\BASIC.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 42, 245
"c:\Project\CraneEngine\Demo\BASIC\BASIC.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 38
"c:\Project\CraneEngine\Demo\BASIC\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 185
"c:\Project\CraneEngine\Demo\CLOTH\CLOTH.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 33, 166
"c:\Project\CraneEngine\Demo\CLOTH\CLOTH.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 53
"c:\Project\CraneEngine\Demo\CLOTH\CreateActors.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 45, 258
"c:\Project\CraneEngine\Demo\CLOTH\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 177
"c:\Project\CraneEngine\Demo\HAIR\CreateActors.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23, 135
"c:\Project\CraneEngine\Demo\HAIR\HAIR.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 25, 159
"c:\Project\CraneEngine\Demo\HAIR\HAIR.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 44
"c:\Project\CraneEngine\Demo\HAIR\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 177
"c:\Project\CraneEngine\Demo\MINI_GAME\AI.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 23
"c:\Project\CraneEngine\Demo\MINI_GAME\CreateAssets.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32, 161
"c:\Project\CraneEngine\Demo\MINI_GAME\MINI_GAME.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 41, 194
"c:\Project\CraneEngine\Demo\MINI_GAME\MINI_GAME.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 61
"c:\Project\CraneEngine\Demo\MINI_GAME\OCEAN.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 85, 391
"c:\Project\CraneEngine\Demo\MINI_GAME\OCEAN.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25, 88
"c:\Project\CraneEngine\Demo\MINI_GAME\OceanAmpl.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 73
"c:\Project\CraneEngine\Demo\MINI_GAME\OceanAmpl.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Project\CraneEngine\Demo\MINI_GAME\Sky.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 47
"c:\Project\CraneEngine\Demo\MINI_GAME\Sky.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Project\CraneEngine\Demo\MINI_GAME\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 179
"c:\Project\CraneEngine\Demo\MINI_GAME\updatePhysics.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 53
"c:\Project\CraneEngine\Demo\OCEAN\OCEAN.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 96, 541
"c:\Project\CraneEngine\Demo\OCEAN\OCEAN.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 68
"c:\Project\CraneEngine\Demo\OCEAN\OceanAmpl.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 73
"c:\Project\CraneEngine\Demo\OCEAN\OceanAmpl.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Project\CraneEngine\Demo\OCEAN\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 184
"c:\Project\CraneEngine\Demo\SDL2_BASE\SDL2_BASE.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 44
"c:\Project\CraneEngine\Demo\SDL2_BASE\SDL2_BASE.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 33
"c:\Project\CraneEngine\Demo\SDL2_BASE\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Project\CraneEngine\Demo\SDL2_IMGUI_BASE\SDL2_IMGUI_BASE.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 38, 188
"c:\Project\CraneEngine\Demo\SDL2_IMGUI_BASE\SDL2_IMGUI_BASE.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 50
