Date : 2021-10-09 21:36:08
Directory : c:\Project\CraneEngine
Total : 2978 files,  556706 codes, 110724 comments, 95862 blanks, all 763292 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C++              |      2,091 |    429,742 |     99,386 |     77,303 |    606,431 |
| YAML             |         75 |     26,658 |        525 |        542 |     27,725 |
| C                |         65 |     24,812 |      5,217 |      4,292 |     34,321 |
| Markdown         |        211 |     18,861 |         65 |      6,922 |     25,848 |
| HTML             |        135 |     16,000 |        365 |      1,130 |     17,495 |
| XML              |         55 |     10,020 |          5 |         97 |     10,122 |
| CMake            |         71 |      8,258 |          0 |      1,215 |      9,473 |
| Python           |         16 |      4,622 |      2,955 |        988 |      8,565 |
| CUDA C++         |         14 |      3,305 |        212 |        837 |      4,354 |
| JSON             |         25 |      2,756 |          0 |         21 |      2,777 |
| CSS              |          7 |      1,920 |         74 |        410 |      2,404 |
| Makefile         |         24 |      1,776 |        639 |        529 |      2,944 |
| JavaScript       |         61 |      1,764 |        185 |        167 |      2,116 |
| HLSL             |         41 |      1,468 |        489 |        280 |      2,237 |
| Objective-C++    |          6 |      1,316 |        286 |        318 |      1,920 |
| CMake Cache      |          3 |      1,114 |          0 |        286 |      1,400 |
| GLSL             |         29 |      1,037 |        194 |        255 |      1,486 |
| Shell Script     |         25 |        767 |        107 |        217 |      1,091 |
| SQL              |          1 |        149 |          3 |          4 |        156 |
| XSL              |          1 |        116 |          0 |          5 |        121 |
| Batch            |         14 |         95 |         14 |         23 |        132 |
| Groovy           |          3 |         52 |          0 |         10 |         62 |
| Diff             |          1 |         30 |          0 |          1 |         31 |
| pip requirements |          1 |         29 |          0 |          1 |         30 |
| Properties       |          2 |         28 |          3 |          7 |         38 |
| Docker           |          1 |         11 |          0 |          2 |         13 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |      2,978 |    556,706 |    110,724 |     95,862 |    763,292 |
| CraneEngine                                                                                                                |         37 |      3,704 |        620 |        847 |      5,171 |
| CraneEngine\Physics                                                                                                        |         14 |      1,213 |        111 |        278 |      1,602 |
| CraneEngine\Render                                                                                                         |         16 |      2,215 |        127 |        499 |      2,841 |
| Demo                                                                                                                       |         39 |      4,020 |        246 |        891 |      5,157 |
| Demo\BASIC                                                                                                                 |          3 |        383 |         19 |         66 |        468 |
| Demo\CLOTH                                                                                                                 |          4 |        503 |         43 |        108 |        654 |
| Demo\HAIR                                                                                                                  |          4 |        422 |         21 |         72 |        515 |
| Demo\MINI_GAME                                                                                                             |         12 |        963 |        100 |        263 |      1,326 |
| Demo\OCEAN                                                                                                                 |          5 |        732 |         24 |        147 |        903 |
| Demo\SDL2_BASE                                                                                                             |          3 |         99 |          1 |         25 |        125 |
| Demo\SDL2_IMGUI_BASE                                                                                                       |          3 |        211 |         14 |         62 |        287 |
| Demo\WAVELETS                                                                                                              |          5 |        707 |         24 |        148 |        879 |
| asset-baker                                                                                                                |         15 |      3,547 |        188 |        697 |      4,432 |
| asset-baker\build                                                                                                          |         14 |      2,651 |        124 |        419 |      3,194 |
| asset-baker\build\CMakeFiles                                                                                               |          9 |      1,525 |        124 |        327 |      1,976 |
| asset-baker\build\CMakeFiles\3.21.1                                                                                        |          9 |      1,525 |        124 |        327 |      1,976 |
| asset-baker\build\CMakeFiles\3.21.1\CompilerIdC                                                                            |          2 |        675 |         61 |        144 |        880 |
| asset-baker\build\CMakeFiles\3.21.1\CompilerIdCXX                                                                          |          2 |        663 |         63 |        142 |        868 |
| assetlib                                                                                                                   |         10 |        517 |         37 |        201 |        755 |
| build                                                                                                                      |         13 |      2,013 |        124 |        473 |      2,610 |
| build\.cmake                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| build\.cmake\api                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| build\.cmake\api\v1                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| build\.cmake\api\v1\query                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| build\.cmake\api\v1\query\client-vscode                                                                                    |          1 |          1 |          0 |          0 |          1 |
| build\CMakeFiles                                                                                                           |          9 |      1,494 |        124 |        326 |      1,944 |
| build\CMakeFiles\3.21.3                                                                                                    |          9 |      1,494 |        124 |        326 |      1,944 |
| build\CMakeFiles\3.21.3\CompilerIdC                                                                                        |          2 |        660 |         61 |        143 |        864 |
| build\CMakeFiles\3.21.3\CompilerIdCXX                                                                                      |          2 |        648 |         63 |        141 |        852 |
| build\third_party                                                                                                          |          2 |         31 |          0 |          6 |         37 |
| build\third_party\json                                                                                                     |          2 |         31 |          0 |          6 |         37 |
| shaders                                                                                                                    |         53 |      6,859 |        248 |        622 |      7,729 |
| shaders\.VSCodeCounter                                                                                                     |          2 |         98 |          0 |         13 |        111 |
| shaders\.VSCodeCounter\2021-10-09_21-34-39                                                                                 |          2 |         98 |          0 |         13 |        111 |
| shaders\build                                                                                                              |         35 |      5,915 |        124 |        413 |      6,452 |
| shaders\build\.cmake                                                                                                       |         21 |      2,630 |          0 |         20 |      2,650 |
| shaders\build\.cmake\api                                                                                                   |         21 |      2,630 |          0 |         20 |      2,650 |
| shaders\build\.cmake\api\v1                                                                                                |         21 |      2,630 |          0 |         20 |      2,650 |
| shaders\build\.cmake\api\v1\query                                                                                          |          1 |          1 |          0 |          0 |          1 |
| shaders\build\.cmake\api\v1\query\client-vscode                                                                            |          1 |          1 |          0 |          0 |          1 |
| shaders\build\.cmake\api\v1\reply                                                                                          |         20 |      2,629 |          0 |         20 |      2,649 |
